"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency"
"103019","12:59:53","712198788","958257953","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","4562"
"103019","13:00:01","296896163","650156029","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d96dc63334c5c00175db42c","1","9852"
"103019","13:00:01","296896163","650156029","5.0.14.0","1","2","demographics","age","0","0","0","0","55","1","3489"
"103019","13:00:01","296896163","650156029","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","5534"
"103019","13:00:00","377474426","873335613","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","","1","37156"
"103019","12:59:10","636370295","997907784","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d7a3650eb5d1900016","1","80397"
"103019","12:59:10","636370295","997907784","5.0.14.0","1","2","demographics","age","0","0","0","0","29","1","3303"
"103019","12:59:10","636370295","997907784","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","4060"
"103019","06:00:42","827655951","189193437","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c0cb39d4bc2690001b63c09","1","11346"
"103019","06:00:42","827655951","189193437","5.0.14.0","1","2","demographics","age","0","0","0","0","24","1","2926"
"103019","06:00:42","827655951","189193437","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","4700"
"103019","13:01:05","330236025","892525113","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d7cb3b8647c5800013a0334","1","8170"
"103019","13:01:05","330236025","892525113","5.0.14.0","1","2","demographics","age","0","0","0","0","32","1","2854"
"103019","13:01:05","330236025","892525113","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","2151"
"103019","13:00:51","890780790","252318275","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5da1b299de4ab0001989e3ff","1","25429"
"103019","13:00:51","890780790","252318275","5.0.14.0","1","2","demographics","age","0","0","0","0","18","1","4010"
"103019","13:00:51","890780790","252318275","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","4539"
"103019","13:01:02","183075062","678936250","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d56871611946490001acd01913","1","36997"
"103019","13:01:02","183075062","678936250","5.0.14.0","1","2","demographics","age","0","0","0","0","46","1","3917"
"103019","13:01:02","183075062","678936250","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5305"
"103019","09:01:22","260529877","506589044","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d96fe713cc967001852334f","1","8258"
"103019","09:01:22","260529877","506589044","5.0.14.0","1","2","demographics","age","0","0","0","0","58","1","4008"
"103019","09:01:22","260529877","506589044","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","5178"
"103019","09:01:40","794340601","263078795","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d02436233ef7200190d44df","1","14626"
"103019","09:01:40","794340601","263078795","5.0.14.0","1","2","demographics","age","0","0","0","0","20","1","10933"
"103019","09:01:40","794340601","263078795","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","3780"
